1720971451922: /api/users
1720971471542: /api/users/1001
1720971479690: /users/1001
1720971505096: /api/users/1001
1720971784261: /api/users/1000
1720971797719: GET:/api/users/1000
1720971872065:::1: GET:/api/users/1000
1721034779779:::1: GET:/api/users
1721034806437:::1: POST:/api/users
1721035222061:::1: POST:/api/users
1721035715827:::1: GET:/api/users/100000
